Name,InsX,InsY,Xmin,Ymin,Xmax,Ymax,Width,Height,Rotation
PRESSE_03,0.0000,0.0000,2983.5682,825.0751,3103.5682,962.7568,120.0000,137.6817,0.0000
P12,0.0000,0.0000,2139.9960,2289.9962,2299.9960,2449.9962,160.0000,160.0000,0.0000
P04,0.0000,0.0000,2949.9996,1779.9990,3109.9996,1939.9990,160.0000,160.0000,0.0000
PC-A,0.0000,0.0000,2399.7735,811.3864,2469.7735,931.5264,70.0000,120.1401,0.0000
P05,0.0000,0.0000,2949.9953,2010.0041,3109.9953,2170.0041,160.0000,160.0000,0.0000
P37,0.0000,0.0000,3187.4953,2017.5015,3372.4953,2162.5015,185.0000,145.0000,0.0000
P01,0.0000,0.0000,2909.9982,2724.4378,3089.9982,2875.5715,180.0000,151.1337,0.0000
P13,0.0000,0.0000,2429.9960,2777.5015,2589.9960,2922.5015,160.0000,145.0000,0.0000
P09,0.0000,0.0000,2389.9996,1837.4975,2549.9996,1982.4975,160.0000,145.0000,0.0000
P02,0.0000,0.0000,3139.9964,2477.5015,3299.9964,2622.5015,160.0000,145.0000,0.0000
P14,0.0000,0.0000,3099.9953,2246.2015,3259.9953,2393.7978,160.0000,147.5962,0.0000
Z_A,0.0000,0.0000,2139.2153,615.8415,3389.2153,1185.8415,1250.0000,570.0000,0.0000
Z_B,0.0000,0.0000,3516.2153,1386.8415,5108.2153,2916.8415,1592.0000,1530.0000,0.0000
REWORK_03,0.0000,0.0000,1429.1033,615.8415,1609.1033,760.8415,180.0000,145.0000,0.0000
PC_B,0.0000,0.0000,4653.9089,1512.6296,4703.9089,1592.2296,50.0000,79.6000,0.0000
CONTENTION,0.0000,0.0000,2952.4953,2249.0015,3027.4953,2371.0015,75.0000,122.0000,0.0000
P11,0.0000,0.0000,2955.0002,2473.0015,3065.0002,2647.0015,110.0000,174.0000,0.0000
P20,0.0000,0.0000,2165.0028,2523.0020,2355.0028,2617.0020,190.0000,94.0000,0.0000
P25,0.0000,0.0000,2165.0034,2693.0015,2355.0034,2787.0015,190.0000,94.0000,0.0000
P15-B,0.0000,0.0000,2429.9953,2510.0015,2549.9953,2570.0015,120.0000,60.0000,0.0000
P15,0.0000,0.0000,2429.9953,2640.0020,2549.9953,2700.0020,120.0000,60.0000,0.0000
P21,0.0000,0.0000,2369.9953,2060.0015,2549.9953,2140.0015,180.0000,80.0000,0.0000
P22,0.0000,0.0000,2369.9953,2210.0015,2549.9953,2290.0015,180.0000,80.0000,0.0000
P23,0.0000,0.0000,2659.9953,2630.0015,2839.9953,2710.0015,180.0000,80.0000,0.0000
P24,0.0000,0.0000,2369.9953,2360.0015,2549.9953,2440.0015,180.0000,80.0000,0.0000
