Name,InsX,InsY,Xmin,Ymin,Xmax,Ymax,Width,Height,Rotation
PRESSE_03,0.0000,0.0000,2121.5844,1726.0005,2241.5844,1863.6822,120.0000,137.6817,0.0000
P12,0.0000,0.0000,2121.5844,2356.0005,2281.5844,2516.0005,160.0000,160.0000,0.0000
P04,0.0000,0.0000,2958.0007,1726.0005,3118.0007,1886.0005,160.0000,160.0000,0.0000
PC-A,0.0000,0.0000,2402.0007,1726.0005,2522.1408,1796.0005,120.1401,70.0000,90.0000
P05,0.0000,0.0000,2958.0007,1951.0005,3118.0007,2111.0005,160.0000,160.0000,0.0000
P37,0.0000,0.0000,3188.0007,2179.0005,3373.0007,2324.0005,185.0000,145.0000,0.0000
P01,0.0000,0.0000,2958.0007,2556.3667,3138.0007,2707.5005,180.0000,151.1337,0.0000
P13,0.0000,0.0000,2677.3777,2777.5005,2837.3777,2922.5005,160.0000,145.0000,0.0000
P09,0.0000,0.0000,2402.0152,1921.0005,2562.0152,2066.0005,160.0000,145.0000,0.0000
P02,0.0000,0.0000,3213.0007,2777.5005,3373.0007,2922.5005,160.0000,145.0000,0.0000
P14,0.0000,0.0000,3213.0007,2562.5005,3373.0007,2710.0967,160.0000,147.5962,0.0000
Z_B,0.0000,0.0000,3500.0007,1356.0005,5092.0007,2886.0005,1592.0000,1530.0000,0.0000
REWORK_03,0.0000,0.0000,1412.8888,585.0005,1592.8888,730.0005,180.0000,145.0000,0.0000
CONTENTION,0.0000,0.0000,3008.0007,2184.5430,3083.0007,2306.5430,75.0000,122.0000,0.0000
P11,0.0000,0.0000,2958.0007,2371.4628,3132.0007,2481.4628,174.0000,110.0000,270.0000
P20,0.0000,0.0000,2121.5838,2611.5009,2311.5838,2705.5009,190.0000,94.0000,0.0000
P25,0.0000,0.0000,2121.5844,2828.5005,2311.5844,2922.5005,190.0000,94.0000,0.0000
P15-B,0.0000,0.0000,2442.0152,2586.0005,2562.0152,2646.0005,120.0000,60.0000,0.0000
P15,0.0000,0.0000,2442.0152,2716.0009,2562.0152,2776.0009,120.0000,60.0000,0.0000
P21,0.0000,0.0000,2382.0152,2136.0005,2562.0152,2216.0005,180.0000,80.0000,0.0000
P22,0.0000,0.0000,2382.0152,2286.0005,2562.0152,2366.0005,180.0000,80.0000,0.0000
P23,0.0000,0.0000,2657.3777,2627.5005,2837.3777,2707.5005,180.0000,80.0000,0.0000
P24,0.0000,0.0000,2382.0152,2436.0005,2562.0152,2516.0005,180.0000,80.0000,0.0000
